"Mã","Tên ngành","Chỉ tiêu","Tổ hợp xét tuyển","Điểm chuẩn 2025 (TH)"
"406","**Trí tuệ Nhân tạo**","100","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Tin,** {Hóa, Anh, Lý, CNCN}","65.50"
"416","**Công nghệ Thông tin**","100","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Tin,** {Hóa, Anh, Lý, CNCN}","57.38"
