"Mã","Tên ngành","Chỉ tiêu","Tổ hợp xét tuyển","2023 (UTXT)","2023 (TH)","2024 (UTXT)","2024 (TH)","2025 (TH)"
"266","**Khoa học Máy tính**","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","84.6","66.76","81.7","79.63","77.05"
"268","**Cơ Kỹ thuật**","30","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","76.5","59.77","74.1","68.75","69.40"
